section_name,chapter_name,description
A00-A09,1,"Intestinal infectious diseases"
A15-A19,1,"Tuberculosis"
A20-A28,1,"Certain zoonotic bacterial diseases"
A30-A49,1,"Other bacterial diseases"
A50-A64,1,"Infections with a predominantly sexual mode of transmission"
A65-A69,1,"Other spirochetal diseases"
A70-A74,1,"Other diseases caused by chlamydiae"
A75-A79,1,"Rickettsioses"
A80-A89,1,"Viral and prion infections of the central nervous system"
A90-A99,1,"Arthropod-borne viral fevers and viral hemorrhagic fevers"
B00-B09,1,"Viral infections characterized by skin and mucous membrane lesions"
B10,1,"Other human herpesviruses"
B15-B19,1,"Viral hepatitis"
B20,1,"Human immunodeficiency virus [HIV] disease"
B25-B34,1,"Other viral diseases"
B35-B49,1,"Mycoses"
B50-B64,1,"Protozoal diseases"
B65-B83,1,"Helminthiases"
B85-B89,1,"Pediculosis, acariasis and other infestations"
B90-B94,1,"Sequelae of infectious and parasitic diseases"
B95-B97,1,"Bacterial and viral infectious agents"
B99,1,"Other infectious diseases"
C00-C14,2,"Malignant neoplasms of lip, oral cavity and pharynx"
C15-C26,2,"Malignant neoplasms of digestive organs"
C30-C39,2,"Malignant neoplasms of respiratory and intrathoracic organs"
C40-C41,2,"Malignant neoplasms of bone and articular cartilage"
C43-C44,2,"Melanoma and other malignant neoplasms of skin"
C45-C49,2,"Malignant neoplasms of mesothelial and soft tissue"
C50,2,"Malignant neoplasms of breast"
C51-C58,2,"Malignant neoplasms of female genital organs"
C60-C63,2,"Malignant neoplasms of male genital organs"
C64-C68,2,"Malignant neoplasms of urinary tract"
C69-C72,2,"Malignant neoplasms of eye, brain and other parts of CNS"
C73-C75,2,"Malignant neoplasms of thyroid and other endocrine glands"
C7A-C7B,2,"Malignant neuroendocrine tumors"
C76-C80,2,"Malignant neoplasms of ill-defined and secondary sites"
C81-C96,2,"Malignant neoplasms of lymphoid and hematopoietic tissue"
D00-D09,2,"In situ neoplasms"
D10-D36,2,"Benign neoplasms, except benign neuroendocrine tumors"
D3A,2,"Benign neuroendocrine tumors"
D37-D48,2,"Neoplasms of uncertain behavior, polycythemia vera"
D49,2,"Neoplasms of unspecified behavior"
D50-D53,3,"Nutritional anemias"
D55-D59,3,"Hemolytic anemias"
D60-D64,3,"Aplastic and other anemias and other bone marrow failure"
D65-D69,3,"Coagulation defects, purpura and other hemorrhagic"
D70-D77,3,"Other disorders of blood and blood-forming organs"
D78,3,"Intraoperative and postprocedural complications of spleen"
D80-D89,3,"Certain disorders involving the immune mechanism"
E00-E07,4,"Disorders of thyroid gland"
E08-E13,4,"Diabetes mellitus"
E15-E16,4,"Other disorders of glucose regulation"
E20-E35,4,"Disorders of other endocrine glands"
E36,4,"Intraoperative complications of endocrine system"
E40-E46,4,"Malnutrition"
E50-E64,4,"Other nutritional deficiencies"
E65-E68,4,"Overweight, obesity and other hyperalimentation"
E70-E88,4,"Metabolic disorders"
E89,4,"Postprocedural endocrine and metabolic complications"
F01-F09,5,"Mental disorders due to known physiological conditions"
F10-F19,5,"Mental and behavioral disorders due to psychoactive substance use"
F20-F29,5,"Schizophrenia, schizotypal, delusional, and other psychotic"
F30-F39,5,"Mood [affective] disorders"
F40-F48,5,"Anxiety, dissociative, stress-related, somatoform"
F50-F59,5,"Behavioral syndromes associated with physiological disturbances"
F60-F69,5,"Disorders of adult personality and behavior"
F70-F79,5,"Intellectual disabilities"
F80-F89,5,"Pervasive and specific developmental disorders"
F90-F98,5,"Behavioral and emotional disorders with onset in childhood"
F99,5,"Unspecified mental disorder"
G00-G09,6,"Inflammatory diseases of the central nervous system"
G10-G14,6,"Systemic atrophies primarily affecting the CNS"
G20-G26,6,"Extrapyramidal and movement disorders"
G30-G32,6,"Other degenerative diseases of the nervous system"
G35-G37,6,"Demyelinating diseases of the central nervous system"
G40-G47,6,"Episodic and paroxysmal disorders"
G50-G59,6,"Nerve, nerve root and plexus disorders"
G60-G65,6,"Polyneuropathies and other disorders of the PNS"
G70-G73,6,"Diseases of myoneural junction and muscle"
G80-G83,6,"Cerebral palsy and other paralytic syndromes"
G89-G99,6,"Other disorders of the nervous system"
I00-I02,9,"Acute rheumatic fever"
I05-I09,9,"Chronic rheumatic heart diseases"
I10-I16,9,"Hypertensive diseases"
I20-I25,9,"Ischemic heart diseases"
I26-I28,9,"Pulmonary heart disease and diseases of pulmonary circulation"
I30-I52,9,"Other forms of heart disease"
I60-I69,9,"Cerebrovascular diseases"
I70-I79,9,"Diseases of arteries, arterioles and capillaries"
I80-I89,9,"Diseases of veins, lymphatic vessels and lymph nodes"
I95-I99,9,"Other and unspecified disorders of the circulatory system"
J00-J06,10,"Acute upper respiratory infections"
J09-J18,10,"Influenza and pneumonia"
J20-J22,10,"Other acute lower respiratory infections"
J30-J39,10,"Other diseases of upper respiratory tract"
J40-J47,10,"Chronic lower respiratory diseases"
J60-J70,10,"Lung diseases due to external agents"
J80-J84,10,"Other respiratory diseases principally affecting the interstitium"
J85-J86,10,"Suppurative and necrotic conditions of lower respiratory tract"
J90-J94,10,"Other diseases of the pleura"
J95,10,"Intraoperative and postprocedural complications"
J96-J99,10,"Other diseases of the respiratory system"
